course_id,course_tag,course_duration,modules_completed,total_modules,completion_percentage,course_score,performance_score,target_course_id
8e577a9b-05fd-42e0-b632-df1326c8f571,Mobile Development,159.0,2.0,5.0,40.0,37.0,35.8,106b358b-973e-42b1-9154-94214dc7f604
afa0180e-27c9-40c2-90b9-2c36049628da,UI/UX Design,110.0,2.0,4.0,50.0,58.0,35.8,5233bd5a-1fb4-4022-9ef4-9885ad9b99f4
ed4cf2ae-f6e7-4e7a-9ab0-a45238edf50a,Mobile Development,128.0,4.0,6.0,66.66666666666666,20.0,35.8,9e83f157-d468-419d-ad33-136689153d82
9e83f157-d468-419d-ad33-136689153d82,UI/UX Design,174.0,4.0,8.0,50.0,82.0,82.0,3edbd79b-fa31-4627-a9e7-a788489c521a
28584099-5402-4c97-9df7-c41196cebdbe,Data Engineering,124.0,7.0,13.0,53.84615384615385,87.0,78.23809523809524,ab51c6e7-897f-40b2-8d96-9acc9628a6d7
c388b418-ba14-4b9e-ae1f-b6ec6159ab06,Generative AI,107.0,2.0,8.0,25.0,64.0,78.23809523809524,ba1779fd-d7f4-488b-8416-d5552dccc631
f9623129-3998-4702-9949-2c9984428449,Mobile Development,175.0,2.0,5.0,40.0,42.0,42.0,f31ae959-58d2-437c-bf6e-3b76e3d1e479
a795581f-3613-443f-a730-ce6ac79674ae,UI/UX Design,102.0,6.0,8.0,75.0,61.0,64.0,28584099-5402-4c97-9df7-c41196cebdbe
e320cc11-248f-4fa2-9896-aaab2b4bc1ab,DevOps,116.0,1.0,4.0,25.0,70.0,64.0,c388b418-ba14-4b9e-ae1f-b6ec6159ab06
8e577a9b-05fd-42e0-b632-df1326c8f571,Mobile Development,159.0,5.0,6.0,83.33333333333334,76.0,76.0,26992488-3e60-4fa9-aa4b-6d5a4354e20b
959f0001-a7c8-49f4-8bf7-173b2cb863b4,Web Development,150.0,4.0,8.0,50.0,57.0,56.99999999999999,5233bd5a-1fb4-4022-9ef4-9885ad9b99f4
959f0001-a7c8-49f4-8bf7-173b2cb863b4,Web Development,150.0,1.0,2.0,50.0,45.0,45.0,a8d520b2-584e-40f8-81b0-e8e538ff1f0c
90496e5e-acdd-418b-ad38-ad214e7a347e,Web Development,107.0,4.0,8.0,50.0,64.0,64.0,7b96c6be-198f-40ea-a457-11b71fc95c61
dd5f09e3-33aa-46a2-aa3b-3644cf18b167,Software Testing,100.0,2.0,5.0,40.0,33.0,33.0,3c47df7c-1842-40b3-8899-68e3d95f41c8
6047372f-c9af-4531-8a73-8bdb89bfb063,Cybersecurity,146.0,3.0,5.0,60.0,83.0,83.0,3a339568-c338-429e-8aef-293a3ea7f5bb
f9623129-3998-4702-9949-2c9984428449,Mobile Development,175.0,6.0,8.0,75.0,98.0,98.0,a795581f-3613-443f-a730-ce6ac79674ae
4f3eb0d3-dd92-4afe-9c6c-cd1634770a52,Mobile Development,117.0,4.0,8.0,50.0,69.0,62.42857142857143,2ff0eb16-b673-41dc-8f43-332b866d7b90
695d5577-cbaa-4e8d-ad22-b8f8de421192,UI/UX Design,102.0,4.0,8.0,50.0,38.0,62.42857142857143,7b96c6be-198f-40ea-a457-11b71fc95c61
959f0001-a7c8-49f4-8bf7-173b2cb863b4,Web Development,150.0,2.0,5.0,40.0,91.0,62.42857142857143,dd5f09e3-33aa-46a2-aa3b-3644cf18b167
e320cc11-248f-4fa2-9896-aaab2b4bc1ab,DevOps,116.0,2.0,3.0,66.66666666666666,60.0,60.0,e320cc11-248f-4fa2-9896-aaab2b4bc1ab
c388b418-ba14-4b9e-ae1f-b6ec6159ab06,Generative AI,107.0,1.0,4.0,25.0,59.0,59.0,9e83f157-d468-419d-ad33-136689153d82
2ff0eb16-b673-41dc-8f43-332b866d7b90,Mobile Development,170.0,5.0,9.0,55.55555555555556,74.0,74.0,106b358b-973e-42b1-9154-94214dc7f604
a83b5073-16b7-4acd-b748-514eb1a25314,DevOps,106.0,4.0,7.0,57.14285714285714,63.0,63.0,dd5f09e3-33aa-46a2-aa3b-3644cf18b167
3edbd79b-fa31-4627-a9e7-a788489c521a,Generative AI,142.0,1.0,2.0,50.0,61.0,67.60000000000001,7b96c6be-198f-40ea-a457-11b71fc95c61
90496e5e-acdd-418b-ad38-ad214e7a347e,Web Development,107.0,2.0,3.0,66.66666666666666,72.0,67.60000000000001,a83b5073-16b7-4acd-b748-514eb1a25314
0e49b452-3443-4ce9-a35d-53c845e4f60f,Data Engineering,128.0,2.0,6.0,33.33333333333333,45.0,45.75,c388b418-ba14-4b9e-ae1f-b6ec6159ab06
afa0180e-27c9-40c2-90b9-2c36049628da,UI/UX Design,110.0,1.0,4.0,25.0,51.0,45.75,ab51c6e7-897f-40b2-8d96-9acc9628a6d7
f9623129-3998-4702-9949-2c9984428449,Mobile Development,175.0,3.0,6.0,50.0,43.0,45.75,a8d520b2-584e-40f8-81b0-e8e538ff1f0c
4f3eb0d3-dd92-4afe-9c6c-cd1634770a52,Mobile Development,117.0,1.0,5.0,20.0,24.0,47.38461538461539,3edbd79b-fa31-4627-a9e7-a788489c521a
959f0001-a7c8-49f4-8bf7-173b2cb863b4,Web Development,150.0,4.0,8.0,50.0,62.0,47.38461538461539,afa0180e-27c9-40c2-90b9-2c36049628da
f9623129-3998-4702-9949-2c9984428449,Mobile Development,175.0,5.0,7.0,71.42857142857143,73.0,73.0,3edbd79b-fa31-4627-a9e7-a788489c521a
e320cc11-248f-4fa2-9896-aaab2b4bc1ab,DevOps,116.0,6.0,11.0,54.54545454545454,21.0,21.0,f9623129-3998-4702-9949-2c9984428449
4f3eb0d3-dd92-4afe-9c6c-cd1634770a52,Mobile Development,117.0,2.0,4.0,50.0,55.0,55.00000000000001,71377f20-bed9-410b-9fa7-142e3179e9fe
